KIC,Period_days,Depth_ppm,Duration_hours,Epoch,SDE,kepid,label,koi_disposition,kepmag,teff,logg,radius,injected,actual,Confidence,Prediction,Rp_Rs_pred
7135676,37.19752664,366.3167771,5.0,154.4136872,17.47293042,7135676,0,NONE,12.053,5795,4.085,1.468,1,1,1.0,1,0.019139403781204888
6627290,35.01338021,443.9341709,5.0,145.4911972,21.76358474,6627290,0,NONE,13.189,5783,4.539,0.88,1,1,1.0,1,0.021069745392386686
6026138,34.90630531,882.8427092,5.0,162.8044937,131.7543065,6026138,0,NONE,13.882,6180,4.399,1.056,1,1,1.0,1,0.029712669169901246
6584971,34.49082064,438.933358,5.0,150.3878785,25.94855671,6584971,0,NONE,13.866,5889,4.283,1.213,1,1,1.0,1,0.02095073645483614
3847809,32.56682368,498.2006677,5.0,151.8251222,24.91405644,3847809,0,NONE,14.293,5814,4.368,1.014,1,1,1.0,1,0.022320409218918903
5036291,30.1792851,847.708454,5.0,148.0329085,61.2919054,5036291,0,NONE,14.108,5588,4.2,1.279,1,1,1.0,1,0.02911543326141653
8299361,32.1212611,556.9753036,5.0,144.7264996,32.72310852,8299361,0,NONE,12.454,6053,4.038,1.711,1,1,1.0,1,0.02360032422658638
6508221,36.41495299,948.9902187,5.0,167.6377166,44.89049825,6508221,1,CONFIRMED,14.29,5262,4.598,0.761,0,1,0.9988475836431226,1,0.030805684843872565
7761918,44.59781082,318.0145249,5.0,128.6221322,15.95684834,7761918,1,CONFIRMED,12.487,6277,4.349,1.13,0,1,0.9984237918215613,1,0.017832961753449707
10917136,32.25291853,436.0851773,5.0,142.9913184,12.52545727,10917136,0,NONE,13.718,5601,4.562,0.818,1,1,0.9973160077233579,1,0.02088265254463618
11122894,37.46456146,1288.835924,5.0,162.4500314,45.77068965,11122894,1,CONFIRMED,14.232,6150,4.423,1.04,0,1,0.9971173166152698,1,0.035900361056680194
3533508,42.69228305,1115.405848,5.0,158.2003288,212.2763702,3533508,0,NONE,13.705,5500,4.524,0.757,1,1,0.9963442172451213,1,0.03339769225560353
11446443,32.12061947,3373.068648,5.0,142.4557861,86.19263459,11446443,1,CONFIRMED,11.338,5850,4.455,0.95,0,1,0.9960880093740192,1,0.058078125382970136
10651431,35.63826066,304.8389317,5.0,134.8874805,12.42236582,10651431,0,NONE,14.22,6283,4.391,1.087,1,1,0.9956563947421748,1,0.01745963721558956
3541946,35.57992654,491.1039599,5.0,146.8668042,8.14634649,3541946,1,CONFIRMED,13.597,5733,4.551,0.855,0,1,0.9929658381332688,1,0.02216086550430736
2987027,34.55347805,6502.434766,5.0,133.8251529,305.1733979,2987027,1,CONFIRMED,14.018,5085,4.498,0.822,0,1,0.9918924476468485,1,0.08063767584696374
12066128,39.20785247,389.1996715,5.0,156.5951642,9.458423139,12066128,0,NONE,13.659,6190,4.373,1.081,1,1,0.991449626192238,1,0.019728144147384975
9753528,33.48104235,1653.332894,5.0,145.887706,276.5535431,9753528,0,NONE,14.09,6106,4.414,1.032,1,1,0.9910453870368173,1,0.0406611964162394
6634112,39.77227687,8605.602642,5.0,163.6160972,132.4742775,6634112,1,CANDIDATE,14.099,5268,4.475,0.843,0,1,0.9908924476468484,1,0.09276638745795807
7373610,44.77776893,396.1122008,5.0,147.1787963,9.969876253,7373610,0,NONE,14.203,6156,4.545,0.84,1,1,0.9883416846701935,1,0.019902567693641945
10848334,32.64286187,147.6627739,5.0,131.2267482,20.5257792,10848334,0,NONE,12.992,6052,4.159,1.297,1,1,0.9854051393155109,1,0.01215165724911627
10532112,43.84537417,525.0186024,5.5,130.9243478,82.39965702,10532112,0,NONE,13.424,5984,4.316,1.128,1,1,0.9841187231962059,1,0.02291328440883148
4831267,31.81504771,116.5492627,5.0,141.5334432,12.00667601,4831267,0,NONE,13.727,6109,4.346,1.084,1,1,0.9840381298535185,1,0.010795798381777978
11075737,31.03948713,85.51387389,5.0,145.9349487,12.68980026,11075737,1,CONFIRMED,12.872,5802,4.425,0.966,0,1,0.9838209975522769,1,0.009247371188072857
5427752,48.47869156,799.7024959,6.0,170.5129712,91.45781019,5427752,0,NONE,14.023,5627,4.591,0.763,1,1,0.983118915611445,1,0.028279011579261396
10877233,34.91620589,429.4351443,7.0,159.8450635,15.43086692,10877233,0,NONE,13.775,6297,4.448,1.031,1,1,0.9812592918851828,1,0.020722816997213483
8802165,34.84277619,689.8679594,5.0,131.9710734,7.375259023,8802165,1,CONFIRMED,13.939,5796,4.544,0.871,0,1,0.9740687091831266,1,0.026265337603008268
4245449,30.94084885,3676.977633,10.0,124.5395856,74.69819059,4245449,0,NONE,12.545,6052,4.001,1.554,1,1,0.9624992304059186,1,0.060638087313173064
10089175,53.02037204,1366.216716,6.0,134.6993314,157.4551347,10089175,0,NONE,14.064,5700,4.349,1.1,1,1,0.9599759479134583,1,0.03696236891758968
2572793,36.04711649,1000.125312,5.0,158.5960051,6.297274598,2572793,0,NONE,14.32,5900,4.425,0.973,1,1,0.9327532974566083,1,0.0316247578963065
6431254,37.41384667,135.5216701,7.5,146.5289506,2.705686243,6431254,0,NONE,13.19,6070,4.187,1.25,1,1,0.9262455812872179,1,0.011641377500107108
8315206,34.06550118,70.79054946,8.0,135.4494291,5.643357211,8315206,0,NONE,14.026,5148,4.635,0.683,1,1,0.9190294681902952,1,0.008413711990554466
4820550,67.37373067,489.5776776,5.0,157.2836774,15.85406815,4820550,1,CANDIDATE,13.922,5817,4.544,0.87,0,1,0.8910703643797906,1,0.022126402274206262
10094670,288.2080612,2757.524876,5.0,183.8242336,6.928608033,10094670,1,CONFIRMED,13.698,6215,4.397,1.145,0,1,0.8850338771497223,1,0.05251214027251222
8146482,285.8515244,4852.888071,5.0,163.7628354,6.594174493,8146482,0,NONE,13.64,5375,4.531,0.752,1,1,0.8676627438188095,1,0.06966267344137748
10097171,254.1476331,1583.042835,9.0,255.5741907,9.976643697,10097171,0,NONE,14.029,5278,4.553,0.728,1,1,0.856972619878973,1,0.03978747082939552
5296040,285.7886162,1728.08028,6.0,163.9079455,6.529204767,5296040,0,NONE,14.042,6028,4.459,1.047,1,1,0.8538890409847004,1,0.041570184988763276
4274340,199.2704547,2617.722001,6.0,166.0598002,9.340959995,4274340,0,NONE,12.5,5763,4.53,0.843,1,1,0.8344633294072442,1,0.05116367853272476
4370718,285.7965724,1794.417834,6.0,163.8932341,6.3029012,4370718,0,NONE,12.388,5884,4.187,1.431,1,1,0.8300530916217754,1,0.04236056933045164
9933041,276.5004217,3022.157944,5.0,352.8252347,9.251374274,9933041,0,NONE,14.317,6054,4.372,1.072,1,1,0.825622686730254,1,0.05497415705583852
6266423,194.1353551,2648.128963,7.5,323.002472,12.71781047,6266423,0,NONE,14.318,6250,4.49,0.921,1,1,0.8215638791071086,1,0.05145997437815141
6582949,253.7350118,1406.473143,7.5,400.3252302,7.33457943,6582949,0,NONE,13.977,5209,4.495,0.816,1,1,0.8111701606085738,1,0.03750297512198199
3654361,180.6883063,629.4618137,5.0,261.4140459,11.93345574,3654361,0,NONE,11.269,5095,4.678,0.58,1,1,0.7965164466803082,1,0.02508907757770301
9222857,82.99269275,502.5019482,5.0,183.8245987,3.203662826,9222857,0,NONE,13.775,5183,4.584,0.788,1,1,0.7911336957421882,1,0.02241655522599313
10779094,284.3739574,1336.912687,10.0,349.2893979,7.175837582,10779094,0,NONE,13.554,6264,4.062,1.648,1,1,0.786784266078701,1,0.03656381663612266
8609667,61.23023458,91.12705622,8.5,172.1689537,2.662478131,8609667,0,NONE,14.221,6013,4.45,0.953,1,1,0.7779524671938577,1,0.009546049246677915
6035124,266.4167266,2961.669238,8.5,271.689685,12.38131473,6035124,1,CONFIRMED,13.746,5477,4.035,1.571,0,1,0.7732369430687385,1,0.054421220475105114
5297117,285.9132577,1872.82063,5.0,163.6370976,5.391786279,5297117,0,NONE,13.008,5837,4.361,1.073,1,1,0.7672857068548312,1,0.04327609767527567
12300524,254.1221885,1413.129642,7.0,255.6640353,8.626908419,12300524,1,CANDIDATE,13.186,6039,4.478,1.005,0,1,0.766114510088656,1,0.03759161664520429
3003576,199.2704547,2227.027508,6.0,166.0598475,10.28580933,3003576,0,NONE,12.517,6161,4.152,1.471,1,1,0.7650268029338505,1,0.04719139230834369
5859725,92.14880533,82.58562122,8.5,168.2166134,8.940810215,5859725,1,CANDIDATE,13.048,5830,4.503,0.825,0,1,0.755288425801084,1,0.009087663133061216
5350800,82.02398367,344.3214561,10.0,185.6019124,14.27578942,5350800,0,NONE,13.48,6006,4.104,1.302,1,1,0.7538949449912852,1,0.018555900843128043
5716763,199.2704547,636.9284822,5.0,166.0596974,7.915065045,5716763,1,CANDIDATE,12.107,5916,4.573,0.788,0,1,0.7484572692563116,1,0.02523744206927477
6265665,204.3162782,1435.401088,9.0,246.3937944,9.7401299,6265665,1,CONFIRMED,13.509,5002,4.543,0.753,0,1,0.7421843767982401,1,0.03788668747726568
8460007,57.63418014,517.9868237,8.5,134.4179354,4.918577342,8460007,0,NONE,14.342,4911,4.769,0.522,1,1,0.7403728139863459,1,0.02275932388494878
6272284,83.7867156,477.8977499,6.0,183.8460483,2.694563639,6272284,0,NONE,14.274,5979,4.329,1.093,1,1,0.7397610490938029,1,0.02186087257865065
7421448,55.96588249,379.9547949,7.5,148.3149889,1.03141957,7421448,0,NONE,13.858,5724,4.209,1.237,1,1,0.7344581628066733,1,0.019492429168782428
10657406,91.95041058,492.6699394,5.0,171.3456111,3.593723852,10657406,1,CONFIRMED,13.733,5346,4.403,0.952,0,1,0.732611517509335,1,0.02219616947583524
10904004,279.9703659,655.3813995,7.5,259.6480225,7.73696231,10904004,1,CANDIDATE,14.48,4871,4.626,0.654,0,1,0.7321717585131481,1,0.025600417955572524
10556590,139.8428469,2149.427874,7.5,176.1470769,2.634672263,10556590,0,NONE,13.684,5880,4.274,1.193,1,1,0.7259077022210721,1,0.04636192267367694
8837813,84.7137444,514.1008238,8.0,170.8868268,2.752068927,8837813,0,NONE,13.987,5670,4.263,1.117,1,1,0.7206883105299807,1,0.02267379156206566
2989404,279.7462784,480.2213238,7.5,260.3204884,7.110226368,2989404,1,CONFIRMED,12.722,6277,4.211,1.378,0,1,0.7143619445353123,1,0.02191395271967155
7950097,103.8645267,441.1306564,10.0,183.9292116,2.760577168,7950097,0,NONE,13.79,6243,4.401,1.07,1,1,0.7128101483652309,1,0.021003110636284333
3098810,233.6096589,351.5167543,10.0,268.3313003,7.664753048,3098810,1,CONFIRMED,12.988,6071,4.315,1.216,0,1,0.7087464088923803,1,0.01874878007498088
11153121,254.1366023,1594.477258,14.0,255.7824997,10.51822931,11153121,1,CONFIRMED,14.167,5900,4.363,1.07,0,1,0.7025250826850477,1,0.03993090605032648
7582689,216.9153533,271.5015642,10.0,259.4981007,8.479740911,7582689,1,CONFIRMED,11.973,6293,4.027,1.682,0,1,0.7021666013805475,1,0.016477304518640178
4490159,254.120497,1009.668621,10.0,255.7412852,8.698490782,4490159,0,NONE,14.417,5825,4.356,1.071,1,1,0.7016976262572773,1,0.031775283177337695
9146018,103.8437262,391.1712455,12.0,183.9707715,2.701217469,9146018,1,CONFIRMED,14.129,5543,4.568,0.813,0,1,0.6949978039636558,1,0.019778049587863816
10911073,84.78641217,98.38450907,8.5,142.4810967,3.479344362,10911073,0,NONE,13.976,6297,4.448,1.031,1,1,0.6947743349214661,1,0.009918896565142717
4935189,72.59916805,2120.266422,9.5,182.5909955,2.764485755,4935189,0,NONE,11.203,6256,4.172,1.529,1,1,0.6935399656167899,1,0.04604635080003626
2853446,139.8736465,695.1104264,8.0,176.033437,2.707471298,2853446,1,CANDIDATE,13.835,5973,4.371,1.07,0,1,0.6926312666110958,1,0.026364946925795243
11290469,82.17408542,87.54529484,11.0,229.9941616,3.662312489,11290469,0,NONE,13.859,5277,4.515,0.779,1,1,0.692313475442093,1,0.009356564264728801
6268648,95.74448759,142.7976932,8.0,162.1228586,2.740408247,6268648,1,CONFIRMED,11.049,6044,4.192,1.327,0,1,0.6906558411024996,1,0.0119497988769686
12109421,84.70950373,408.7058754,7.0,170.9346685,2.097938148,12109421,0,NONE,13.454,6060,4.495,0.953,1,1,0.68830591294159,1,0.020216475345618486
7808587,288.3612766,1168.963856,10.0,183.9293277,6.654194867,7808587,1,CONFIRMED,13.939,5810,4.25,1.259,0,1,0.6812773477974405,1,0.03419011342478992
10615440,256.5843228,864.1411145,8.0,310.9909373,8.196891855,10615440,1,CONFIRMED,13.385,6025,4.331,1.196,0,1,0.679030257714453,1,0.029396277221784395
4068696,85.31334778,457.8887481,7.0,179.3931398,2.693011262,4068696,0,NONE,13.514,5868,4.53,0.894,1,1,0.6779373151735198,1,0.021398335171223016
8631504,205.7933329,791.5447845,8.0,183.8662647,9.421008047,8631504,1,CONFIRMED,14.146,4832,4.59,0.741,0,1,0.6756669483292478,1,0.028134405707247487
5809890,59.64580608,214.8454708,5.5,141.0433507,3.711703005,5809890,1,CONFIRMED,13.999,5095,4.529,0.771,0,1,0.6729248202037627,1,0.01465760794945751
11713414,75.15067009,88.80267202,5.0,171.1012473,2.804295461,11713414,0,NONE,12.002,5981,4.296,1.15,1,1,0.6593766986240562,1,0.009423516966610715
9225385,78.58067774,434.1719488,7.0,161.3037075,2.601511302,9225385,0,NONE,14.445,5457,4.584,0.778,1,1,0.6573941899300634,1,0.02083679315057862
9519499,138.4381113,390.6709728,11.0,183.9349484,1.874838177,9519499,0,NONE,12.756,6099,4.125,1.486,1,1,0.6571922590462218,1,0.01976539837190235
11125797,61.50828762,105.1846379,9.5,164.7936766,2.552130381,11125797,1,CONFIRMED,13.747,5356,4.617,0.685,0,1,0.6542517922652513,1,0.010255956215780175
1724719,233.6229092,719.8263879,10.0,268.3251055,9.823268151,1724719,1,CONFIRMED,13.96,6185,4.383,1.087,0,1,0.6531027225934788,1,0.026829580464479873
5212312,180.8499476,386.2037509,8.5,260.3558136,7.423738216,5212312,0,NONE,14.111,6198,4.394,1.073,1,1,0.6460187202919353,1,0.01965206734417527
9417931,80.34389341,127.5737372,8.5,183.8823388,1.689758247,9417931,1,CANDIDATE,13.574,6098,4.321,1.131,0,1,0.6455136558889376,1,0.011294854456786949
7597226,93.53634817,534.0205352,9.0,183.9083949,1.986867925,7597226,0,NONE,14.443,5701,4.571,0.796,1,1,0.6435402246489466,1,0.023108884334818072
8494617,137.1934294,673.7162248,8.0,183.8872836,1.992640938,8494617,1,CONFIRMED,13.578,5897,4.357,1.081,0,1,0.6413564505558217,1,0.025956044089961012
9764678,93.53837214,399.7409903,10.0,183.908139,2.238609826,9764678,0,NONE,14.162,5115,4.47,0.866,1,1,0.6410730018718648,1,0.019993523708941353
8564420,205.7933329,758.8607553,7.0,183.8454885,8.43254791,8564420,0,NONE,14.483,6060,4.509,0.925,1,1,0.6409562403950566,1,0.027547427380791842
8165946,93.53837214,479.5272054,8.0,183.8664549,2.977705759,8165946,1,CONFIRMED,13.862,6201,4.472,0.989,0,1,0.6407069241910288,1,0.021898109630742103
6664842,131.7999419,545.4336441,8.0,208.3255494,3.308285609,6664842,1,CANDIDATE,14.43,6045,4.469,1.005,0,1,0.6361988808168588,1,0.023354520849291686
9413532,80.35247307,71.57188195,9.0,183.8511836,2.118467166,9413532,0,NONE,12.615,5559,4.496,0.79,1,1,0.6325199971631429,1,0.008460016663695172
10058491,124.4760001,111.1081052,8.0,227.4768927,3.210688243,10058491,0,NONE,13.136,6103,4.496,0.949,1,1,0.6298927019308567,1,0.010540782950046927
4168758,289.4717765,11339.79685,10.0,400.5332017,12.84699781,4168758,0,NONE,13.757,5775,4.393,0.933,1,1,0.6244030113597138,1,0.10648848224103863
1719974,59.70334518,245.3203609,5.0,148.4351191,1.43958104,1719974,0,NONE,12.05,6129,4.468,0.801,1,1,0.6231774431113929,1,0.015662706052914355
3440118,92.85709681,2469.438746,9.5,164.8205445,4.80060985,3440118,1,CONFIRMED,12.624,5839,4.247,1.173,0,1,0.6223155387015905,1,0.049693447716977736
10057494,94.64905133,147.3739938,11.0,137.9977577,3.216490415,10057494,1,CONFIRMED,12.278,6245,4.301,1.24,0,1,0.6184193046340379,1,0.012139769099945847
5095635,58.62696362,243.5889958,9.5,150.0229925,1.600074084,5095635,1,CANDIDATE,14.482,5883,4.53,0.892,0,1,0.6170711414604123,1,0.01560733788318815
