KIC,Period_days,Depth_ppm,Duration_hours,Epoch,SDE,kepid,label,koi_disposition,kepmag,teff,logg,radius
2987027,34.55347805,6502.434766,5,133.8251529,305.1733979,2987027,1,CONFIRMED,14.018,5085,4.498,0.822
9753528,33.48104235,1653.332894,5,145.887706,276.5535431,9753528,0,NONE,14.09,6106,4.414,1.032
3533508,42.69228305,1115.405848,5,158.2003288,212.2763702,3533508,0,NONE,13.705,5500,4.524,0.757
10089175,53.02037204,1366.216716,6,134.6993314,157.4551347,10089175,0,NONE,14.064,5700,4.349,1.1
6634112,39.77227687,8605.602642,5,163.6160972,132.4742775,6634112,1,CANDIDATE,14.099,5268,4.475,0.843
6026138,34.90630531,882.8427092,5,162.8044937,131.7543065,6026138,0,NONE,13.882,6180,4.399,1.056
5427752,48.47869156,799.7024959,6,170.5129712,91.45781019,5427752,0,NONE,14.023,5627,4.591,0.763
11446443,32.12061947,3373.068648,5,142.4557861,86.19263459,11446443,1,CONFIRMED,11.338,5850,4.455,0.95
10532112,43.84537417,525.0186024,5.5,130.9243478,82.39965702,10532112,0,NONE,13.424,5984,4.316,1.128
4245449,30.94084885,3676.977633,10,124.5395856,74.69819059,4245449,0,NONE,12.545,6052,4.001,1.554
5036291,30.1792851,847.708454,5,148.0329085,61.2919054,5036291,0,NONE,14.108,5588,4.2,1.279
11122894,37.46456146,1288.835924,5,162.4500314,45.77068965,11122894,1,CONFIRMED,14.232,6150,4.423,1.04
6508221,36.41495299,948.9902187,5,167.6377166,44.89049825,6508221,1,CONFIRMED,14.29,5262,4.598,0.761
8299361,32.1212611,556.9753036,5,144.7264996,32.72310852,8299361,0,NONE,12.454,6053,4.038,1.711
6584971,34.49082064,438.933358,5,150.3878785,25.94855671,6584971,0,NONE,13.866,5889,4.283,1.213
3847809,32.56682368,498.2006677,5,151.8251222,24.91405644,3847809,0,NONE,14.293,5814,4.368,1.014
6627290,35.01338021,443.9341709,5,145.4911972,21.76358474,6627290,0,NONE,13.189,5783,4.539,0.88
10848334,32.64286187,147.6627739,5,131.2267482,20.5257792,10848334,0,NONE,12.992,6052,4.159,1.297
7135676,37.19752664,366.3167771,5,154.4136872,17.47293042,7135676,0,NONE,12.053,5795,4.085,1.468
7761918,44.59781082,318.0145249,5,128.6221322,15.95684834,7761918,1,CONFIRMED,12.487,6277,4.349,1.13
4820550,67.37373067,489.5776776,5,157.2836774,15.85406815,4820550,1,CANDIDATE,13.922,5817,4.544,0.87
10877233,34.91620589,429.4351443,7,159.8450635,15.43086692,10877233,0,NONE,13.775,6297,4.448,1.031
5350800,82.02398367,344.3214561,10,185.6019124,14.27578942,5350800,0,NONE,13.48,6006,4.104,1.302
4168758,289.4717765,11339.79685,10,400.5332017,12.84699781,4168758,0,NONE,13.757,5775,4.393,0.933
10208470,286.9552712,5381.191344,10.5,188.8766801,12.76405511,10208470,0,NONE,14.371,5185,4.422,0.938
6266423,194.1353551,2648.128963,7.5,323.002472,12.71781047,6266423,0,NONE,14.318,6250,4.49,0.921
11075737,31.03948713,85.51387389,5,145.9349487,12.68980026,11075737,1,CONFIRMED,12.872,5802,4.425,0.966
10917136,32.25291853,436.0851773,5,142.9913184,12.52545727,10917136,0,NONE,13.718,5601,4.562,0.818
10651431,35.63826066,304.8389317,5,134.8874805,12.42236582,10651431,0,NONE,14.22,6283,4.391,1.087
6035124,266.4167266,2961.669238,8.5,271.689685,12.38131473,6035124,1,CONFIRMED,13.746,5477,4.035,1.571
4831267,31.81504771,116.5492627,5,141.5334432,12.00667601,4831267,0,NONE,13.727,6109,4.346,1.084
3654361,180.6883063,629.4618137,5,261.4140459,11.93345574,3654361,0,NONE,11.269,5095,4.678,0.58
5096839,246.3451168,625.66168,8.5,230.1271347,11.47405132,5096839,0,NONE,14.107,6131,4.497,0.945
4383803,180.9060562,1105.711289,9,259.9763458,11.24574408,4383803,0,NONE,11.95,5770,4.472,0.855
