kepid,label,koi_disposition,kepmag,teff,logg,radius
2987027,1,CONFIRMED,14.018,5085,4.498,0.822
9753528,0,NONE,14.09,6106,4.414,1.032
3533508,0,NONE,13.705,5500,4.524,0.757
10089175,0,NONE,14.064,5700,4.349,1.1
6634112,1,CANDIDATE,14.099,5268,4.475,0.843
6026138,0,NONE,13.882,6180,4.399,1.056
5427752,0,NONE,14.023,5627,4.591,0.763
11446443,1,CONFIRMED,11.338,5850,4.455,0.95
10532112,0,NONE,13.424,5984,4.316,1.128
4245449,0,NONE,12.545,6052,4.001,1.554
5036291,0,NONE,14.108,5588,4.2,1.279
11122894,1,CONFIRMED,14.232,6150,4.423,1.04
6508221,1,CONFIRMED,14.29,5262,4.598,0.761
8299361,0,NONE,12.454,6053,4.038,1.711
6584971,0,NONE,13.866,5889,4.283,1.213
3847809,0,NONE,14.293,5814,4.368,1.014
6627290,0,NONE,13.189,5783,4.539,0.88
10848334,0,NONE,12.992,6052,4.159,1.297
7135676,0,NONE,12.053,5795,4.085,1.468
7761918,1,CONFIRMED,12.487,6277,4.349,1.13
4820550,1,CANDIDATE,13.922,5817,4.544,0.87
10877233,0,NONE,13.775,6297,4.448,1.031
5350800,0,NONE,13.48,6006,4.104,1.302
4168758,0,NONE,13.757,5775,4.393,0.933
10208470,0,NONE,14.371,5185,4.422,0.938
6266423,0,NONE,14.318,6250,4.49,0.921
11075737,1,CONFIRMED,12.872,5802,4.425,0.966
10917136,0,NONE,13.718,5601,4.562,0.818
10651431,0,NONE,14.22,6283,4.391,1.087
6035124,1,CONFIRMED,13.746,5477,4.035,1.571
4831267,0,NONE,13.727,6109,4.346,1.084
3654361,0,NONE,11.269,5095,4.678,0.58
5096839,0,NONE,14.107,6131,4.497,0.945
4383803,0,NONE,11.95,5770,4.472,0.855
5894197,0,NONE,12.787,5528,4.487,0.825
5192450,0,NONE,13.129,5926,4.519,0.913
2441876,0,NONE,12.798,6127,4.337,1.07
11153121,1,CONFIRMED,14.167,5900,4.363,1.07
6949061,1,CONFIRMED,14.128,6122,4.41,1.047
7256715,0,NONE,14.422,6089,4.464,0.961
3003576,0,NONE,12.517,6161,4.152,1.471
4263324,0,NONE,12.237,5184,4.503,0.81
3557114,0,NONE,14.001,5762,4.423,0.874
10097171,0,NONE,14.029,5278,4.553,0.728
7373610,0,NONE,14.203,6156,4.545,0.84
1724719,1,CONFIRMED,13.96,6185,4.383,1.087
6265665,1,CONFIRMED,13.509,5002,4.543,0.753
12066128,0,NONE,13.659,6190,4.373,1.081
8631504,1,CONFIRMED,14.146,4832,4.59,0.741
4274340,0,NONE,12.5,5763,4.53,0.843
6851708,0,NONE,13.265,5513,4.611,0.734
9933041,0,NONE,14.317,6054,4.372,1.072
5991815,0,NONE,14.207,6014,4.33,1.129
5859725,1,CANDIDATE,13.048,5830,4.503,0.825
4490159,0,NONE,14.417,5825,4.356,1.071
12300524,1,CANDIDATE,13.186,6039,4.478,1.005
7582689,1,CONFIRMED,11.973,6293,4.027,1.682
8564420,0,NONE,14.483,6060,4.509,0.925
10615440,1,CONFIRMED,13.385,6025,4.331,1.196
3541946,1,CONFIRMED,13.597,5733,4.551,0.855
5716763,1,CANDIDATE,12.107,5916,4.573,0.788
6842313,0,NONE,14.12,5662,4.367,1.03
10904004,1,CANDIDATE,14.48,4871,4.626,0.654
3098810,1,CONFIRMED,12.988,6071,4.315,1.216
4845295,0,NONE,14.122,5984,4.521,0.906
5212312,0,NONE,14.111,6198,4.394,1.073
8802165,1,CONFIRMED,13.939,5796,4.544,0.871
6582949,0,NONE,13.977,5209,4.495,0.816
1849415,0,NONE,12.637,6198,4.039,1.624
6946708,1,CANDIDATE,14.401,5642,4.6,0.747
8481242,0,NONE,14.372,5841,4.52,0.931
4176763,0,NONE,14.319,5318,4.642,0.676
10779094,0,NONE,13.554,6264,4.062,1.648
2989404,1,CONFIRMED,12.722,6277,4.211,1.378
10094670,1,CONFIRMED,13.698,6215,4.397,1.145
6665695,1,CONFIRMED,14.005,5207,4.595,0.725
7808587,1,CONFIRMED,13.939,5810,4.25,1.259
8146482,0,NONE,13.64,5375,4.531,0.752
10006971,0,NONE,13.22,5823,4.042,1.586
5296040,0,NONE,14.042,6028,4.459,1.047
5559280,0,NONE,12.509,4999,4.514,0.801
10252901,0,NONE,13.764,5691,4.515,0.923
4370718,0,NONE,12.388,5884,4.187,1.431
2572793,0,NONE,14.32,5900,4.425,0.973
9535182,0,NONE,13.96,5609,4.599,0.755
6841696,0,NONE,14.092,5941,4.519,0.911
10581308,1,CANDIDATE,13.766,5458,4.09,1.441
8572665,0,NONE,14.354,6217,4.434,1.041
11139692,0,NONE,14.032,4979,4.568,0.715
8607778,0,NONE,14.103,5970,4.521,0.908
9519376,0,NONE,13.885,6047,4.264,1.195
9943009,1,CANDIDATE,12.66,5927,4.117,1.53
7904473,0,NONE,13.94,5716,4.309,1.054
5341188,0,NONE,13.717,5505,4.495,0.816
9088531,0,NONE,11.749,6198,4.342,1.132
