kepid,injected,bin,period_days,epoch_t0,depth_ppm,duration_hours,rp_rs,n_transits
6431254,1,earth_analog,250.802,330.64766,109.6,11.472,0.01047,5
4364882,1,earth_analog,235.2761,167.95569,212.7,11.23,0.01458,6
10911073,1,earth_analog,249.75851,343.97222,157.5,11.456,0.01255,5
4370718,1,earth_analog,234.04208,221.28781,153.1,11.21,0.01237,5
7766199,1,earth_analog,325.77894,437.20429,122.6,12.517,0.01107,2
9764678,1,earth_analog,235.80061,322.99568,174.6,11.238,0.01321,5
10189884,1,earth_analog,212.60172,164.19224,139.7,10.857,0.01182,7
5296040,1,earth_analog,356.73597,212.37161,140.5,12.901,0.01185,4
10058491,1,earth_analog,211.75013,298.33148,204.8,10.842,0.01431,6
10417251,1,earth_analog,212.61884,129.54898,192.5,10.857,0.01388,6
4168758,1,earth_analog,226.45542,278.11282,125.9,11.088,0.01122,4
6582949,1,earth_analog,297.53489,254.61825,154.0,12.144,0.01241,4
9225385,1,earth_analog,214.67059,273.82537,245.1,10.892,0.01566,7
4845295,0,earth_analog,397.20259,510.78348,162.7,13.372,0.01276,1
7597226,1,earth_analog,272.83101,228.82154,155.2,11.798,0.01246,5
4068696,1,earth_analog,320.83758,405.07221,117.1,12.453,0.01082,2
5212312,1,earth_analog,377.79551,224.12746,154.7,13.15,0.01244,4
10556590,1,earth_analog,387.75332,488.02992,127.7,13.265,0.0113,3
9413532,1,earth_analog,292.97623,224.02028,159.9,12.082,0.01265,5
9098185,1,earth_analog,259.3371,386.98264,102.6,11.6,0.01013,5
10722020,1,shallow,98.20054,147.31218,159.3,8.392,0.01262,15
10779094,1,shallow,44.12205,164.07307,196.0,6.428,0.014,32
10578148,1,shallow,27.94907,128.12982,133.1,5.52,0.01154,49
8520426,1,shallow,6.43819,136.22009,196.5,3.384,0.01402,208
3654361,1,shallow,12.48774,125.01691,214.8,4.22,0.01466,85
3851162,1,shallow,126.78174,151.27325,137.2,9.138,0.01172,11
12109421,1,shallow,7.03591,120.79973,231.1,3.486,0.0152,193
4831267,1,shallow,6.36315,135.12791,210.4,3.371,0.01451,210
5807846,1,shallow,131.24503,209.04515,160.7,9.244,0.01268,10
